lon,lat,ssrd
97.69999695,3.200000048,4.427538203
97.69999695,3.299999952,4.415296311
97.69999695,3.400000095,4.387552247
97.69999695,3.5,4.345671053
97.69999695,3.599999905,4.321489956
97.69999695,3.700000048,4.312470761
97.69999695,3.799999952,4.332877208
97.69999695,3.900000095,4.379937664
97.69999695,4,4.417031306
97.69999695,4.099999905,4.462972025
97.69999695,4.199999809,4.531289608
97.69999695,4.300000191,4.601518258
97.69999695,4.400000095,4.665776314
97.69999695,4.5,4.737273069
97.69999695,4.599999905,4.8202006
97.69999695,4.699999809,4.901810567
97.69999695,4.800000191,4.979064256
97.69999695,4.900000095,5.007209922
97.80000305,0.600000024,4.681151875
97.80000305,0.699999988,4.584289003
97.80000305,0.800000012,4.503899667
97.80000305,0.899999976,4.383387867
97.80000305,1,4.302810589
97.80000305,1.100000024,4.319388972
97.80000305,2.299999952,4.695969547
97.80000305,2.400000095,4.660001575
97.80000305,2.5,4.616547611
97.80000305,2.599999905,4.569639489
97.80000305,2.700000048,4.526474361
97.80000305,2.799999952,4.491339264
97.80000305,2.900000095,4.462530858
97.80000305,3,4.436490133
97.80000305,3.099999905,4.414443653
97.80000305,3.200000048,4.396769275
97.80000305,3.299999952,4.387518617
97.80000305,3.400000095,4.382376942
97.80000305,3.5,4.355089869
97.80000305,3.599999905,4.339805314
97.80000305,3.700000048,4.352185686
97.80000305,3.799999952,4.376944456
97.80000305,3.900000095,4.426044564
97.80000305,4,4.475283158
97.80000305,4.099999905,4.526369508
97.80000305,4.199999809,4.594746442
97.80000305,4.300000191,4.664812867
97.80000305,4.400000095,4.727972953
97.80000305,4.5,4.784357264
97.80000305,4.599999905,4.850633214
97.80000305,4.699999809,4.931204558
97.80000305,4.800000191,4.956897097
97.80000305,4.900000095,4.977588425
97.90000153,1,4.303077664
97.90000153,2.400000095,4.630492842
97.90000153,2.5,4.581614306
97.90000153,2.599999905,4.535665669
97.90000153,2.700000048,4.493416508
97.90000153,2.799999952,4.457767047
97.90000153,2.900000095,4.422125497
97.90000153,3,4.408724308
97.90000153,3.099999905,4.392300233
97.90000153,3.200000048,4.3754706
97.90000153,3.299999952,4.365982542
97.90000153,3.400000095,4.360546097
97.90000153,3.5,4.362198003
97.90000153,3.599999905,4.382774586
97.90000153,3.700000048,4.402925831
97.90000153,3.799999952,4.427690533
97.90000153,3.900000095,4.478025119
97.90000153,4,4.532963275
97.90000153,4.099999905,4.587857906
97.90000153,4.199999809,4.655255567
97.90000153,4.300000191,4.725749311
97.90000153,4.400000095,4.788954897
97.90000153,4.5,4.84332725
97.90000153,4.599999905,4.897687733
97.90000153,4.699999809,4.923601844
97.90000153,4.800000191,4.943717478
98,2.299999952,4.635159717
98,2.400000095,4.578346108
98,2.5,4.528662392
98,2.599999905,4.481514889
98,2.700000048,4.438365589
98,2.799999952,4.402379811
98,2.900000095,4.389951958
98,3,4.390023178
98,3.099999905,4.385704489
98,3.200000048,4.3719927
98,3.299999952,4.362749956
98,3.400000095,4.366595822
98,3.5,4.397697111
98,3.599999905,4.440816736
98,3.700000048,4.473674778
98,3.799999952,4.498415742
98,3.900000095,4.547401108
98,4,4.599003803
98,4.099999905,4.650849833
98,4.199999809,4.711760558
98,4.300000191,4.779801175
98,4.400000095,4.842941475
98,4.5,4.897305917
98,4.599999905,4.914742894
98.09999847,2.200000048,4.623173031
98.09999847,2.299999952,4.581228531
98.09999847,2.400000095,4.524405031
98.09999847,2.5,4.474689661
